,age,gender,Worried?
0,18 - 29,Male,No
1,18 - 29,Male,No
2,18 - 29,Male,No
3,18 - 29,Male,No
4,18 - 29,Male,Yes
5,18 - 29,Male,No
6,,,Yes
7,18 - 29,Male,No
8,18 - 29,Male,No
9,18 - 29,Male,No
10,18 - 29,Male,No
11,18 - 29,Male,No
12,,,Yes
13,18 - 29,Male,Yes
14,18 - 29,Male,No
15,18 - 29,Male,Yes
16,18 - 29,Male,No
17,18 - 29,Male,Yes
18,30 - 44,Male,Yes
19,30 - 44,Male,Yes
20,18 - 29,Male,No
21,30 - 44,Male,No
22,18 - 29,Male,No
23,18 - 29,Male,Yes
24,30 - 44,Male,Yes
25,18 - 29,Male,No
26,30 - 44,Male,No
27,30 - 44,Male,No
28,30 - 44,Male,No
29,18 - 29,Male,No
30,18 - 29,Male,Yes
31,18 - 29,Male,No
32,30 - 44,Male,Yes
33,18 - 29,Male,Yes
34,30 - 44,Male,Yes
35,18 - 29,Male,No
36,18 - 29,Male,No
37,18 - 29,Male,Yes
38,18 - 29,Male,Yes
39,30 - 44,Male,No
40,30 - 44,Male,Yes
41,18 - 29,Male,No
42,45 - 59,Male,Yes
43,45 - 59,Male,Yes
44,18 - 29,Male,Yes
45,18 - 29,Male,Yes
46,18 - 29,Male,Yes
47,30 - 44,Male,Yes
48,18 - 29,Male,No
49,30 - 44,Male,Yes
50,45 - 59,Male,Yes
51,45 - 59,Male,Yes
52,30 - 44,Male,No
53,45 - 59,Male,No
54,30 - 44,Male,No
55,30 - 44,Male,No
56,45 - 59,Male,No
57,30 - 44,Male,No
58,18 - 29,Male,No
59,45 - 59,Male,Yes
60,45 - 59,Male,No
61,18 - 29,Male,No
62,18 - 29,Male,Yes
63,45 - 59,Male,Yes
64,18 - 29,Male,No
65,45 - 59,Male,No
66,30 - 44,Male,No
67,18 - 29,Male,No
68,45 - 59,Male,Yes
69,18 - 29,Male,Yes
70,18 - 29,Male,No
71,18 - 29,Male,Yes
72,18 - 29,Male,Yes
73,18 - 29,Male,No
74,30 - 44,Male,No
75,45 - 59,Male,Yes
76,45 - 59,Male,No
77,30 - 44,Male,Yes
78,18 - 29,Male,Yes
79,18 - 29,Male,No
80,30 - 44,Male,No
81,30 - 44,Male,Yes
82,18 - 29,Male,Yes
83,45 - 59,Male,Yes
84,30 - 44,Male,Yes
85,45 - 59,Male,Yes
86,30 - 44,Male,Yes
87,18 - 29,Male,Yes
88,30 - 44,Male,Yes
89,45 - 59,Male,No
90,18 - 29,Male,No
91,30 - 44,Male,Yes
92,45 - 59,Male,No
93,45 - 59,Male,No
94,45 - 59,Male,Yes
95,18 - 29,Male,No
96,18 - 29,Male,No
97,45 - 59,Male,No
98,18 - 29,Male,Yes
99,30 - 44,Male,No
100,30 - 44,Male,No
101,30 - 44,Male,No
102,45 - 59,Male,Yes
103,18 - 29,Male,No
104,30 - 44,Male,Yes
105,45 - 59,Male,Yes
106,45 - 59,Male,Yes
107,30 - 44,Male,Yes
108,30 - 44,Male,Yes
109,30 - 44,Male,Yes
110,45 - 59,Male,Yes
111,30 - 44,Male,Yes
112,45 - 59,Male,Yes
113,45 - 59,Male,Yes
114,45 - 59,Male,No
115,45 - 59,Male,No
116,18 - 29,Male,No
117,60,Male,No
118,30 - 44,Male,Yes
119,18 - 29,Male,Yes
120,30 - 44,Male,Yes
121,30 - 44,Male,No
122,45 - 59,Male,Yes
123,60,Male,Yes
124,60,Male,Yes
125,30 - 44,Male,No
126,18 - 29,Male,Yes
127,30 - 44,Male,No
128,30 - 44,Male,No
129,30 - 44,Male,No
130,18 - 29,Male,Yes
131,30 - 44,Male,No
132,18 - 29,Male,No
133,60,Male,No
134,60,Male,No
135,18 - 29,Male,No
136,60,Male,No
137,30 - 44,Male,Yes
138,60,Male,Yes
139,60,Male,No
140,18 - 29,Male,Yes
141,60,Male,No
142,18 - 29,Male,Yes
143,45 - 59,Male,No
144,30 - 44,Male,Yes
145,30 - 44,Male,Yes
146,60,Male,Yes
147,45 - 59,Male,No
148,60,Male,Yes
149,45 - 59,Male,No
150,45 - 59,Male,Yes
151,,,No
152,30 - 44,Male,Yes
153,30 - 44,Male,No
154,60,Male,No
155,30 - 44,Male,Yes
156,60,Male,No
157,45 - 59,Male,Yes
158,60,Male,Yes
159,18 - 29,Male,No
160,30 - 44,Male,No
161,45 - 59,Male,No
162,,,No
163,45 - 59,Male,No
164,18 - 29,Male,No
165,18 - 29,Male,Yes
166,45 - 59,Male,No
167,18 - 29,Male,No
168,45 - 59,Male,Yes
169,18 - 29,Male,No
170,18 - 29,Male,Yes
171,30 - 44,Male,Yes
172,45 - 59,Male,No
173,60,Male,Yes
174,45 - 59,Male,No
175,30 - 44,Male,No
176,30 - 44,Male,No
177,18 - 29,Male,No
178,45 - 59,Male,Yes
179,60,Male,Yes
180,60,Male,No
181,30 - 44,Male,No
182,30 - 44,Male,Yes
183,18 - 29,Male,Yes
184,30 - 44,Male,No
185,60,Male,No
186,45 - 59,Male,No
187,60,Male,Yes
188,30 - 44,Male,No
189,60,Male,No
190,30 - 44,Male,No
191,60,Male,Yes
192,30 - 44,Male,Yes
193,45 - 59,Male,No
194,60,Female,Yes
195,30 - 44,Male,Yes
196,30 - 44,Male,Yes
197,60,Female,Yes
198,18 - 29,Male,No
199,30 - 44,Male,Yes
200,60,Female,No
201,60,Female,Yes
202,45 - 59,Male,No
203,60,Male,Yes
204,45 - 59,Male,No
205,60,Male,Yes
206,30 - 44,Male,No
207,30 - 44,Male,No
208,45 - 59,Male,Yes
209,60,Female,No
210,30 - 44,Male,No
211,45 - 59,Male,Yes
212,18 - 29,Female,No
213,18 - 29,Female,No
214,18 - 29,Female,Yes
215,30 - 44,Male,Yes
